date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:36	24750/24750	---M-Z	200	added ('OK')	text/html	etag:W/%226242eb96-60ae%22	https://blog.minhazav.dev/research/html5-qrcode.html	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/research/html5-qrcode.html	(from )
00:03:36	70/70	---M--	200	added ('OK')	text/plain	etag:%226242eb8f-46%22	https://blog.minhazav.dev/robots.txt		(from )
00:03:37	19364/19364	---M-Z	200	added ('OK')	text/css	etag:W/%226242eb96-4ba4%22	https://blog.minhazav.dev/assets/main.css	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/assets/main.css	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:37	7397/7397	---M-Z	200	added ('OK')	text/css	etag:W/%226242eb8f-1ce5%22	https://blog.minhazav.dev/assets/custom.css	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/assets/custom.css	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:37	1314/1314	---M-Z	200	added ('OK')	text/css	etag:W/%226242eb8f-522%22	https://blog.minhazav.dev/assets/css/sharebar.css	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/assets/css/sharebar.css	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:37	24750/24750	---M-Z	200	added ('OK')	text/html	etag:W/%226242eb96-60ae%22	https://blog.minhazav.dev/research/html5-qrcode	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/research/html5-qrcode-2.html	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:37	91289/91289	---M--	200	added ('OK')	image/png	etag:%226242eb8f-16499%22	https://blog.minhazav.dev/assets/img/scanapp-logo-removebg-preview.png	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/assets/img/scanapp-logo-removebg-preview.png	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:38	10942/10942	---M-Z	200	added ('OK')	text/html	etag:W/%226242eb96-2abe%22	https://blog.minhazav.dev/research/	C:/Users/DELL/Desktop/scaner/blog.minhazav.dev/research/index.html	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:39	763/763	---M-Z	200	added ('OK')	text/css	etag:%225eb9f5fb-2fb%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.0.3/styles/default.min.css	C:/Users/DELL/Desktop/scaner/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.0.3/styles/default.min.css	(from https://blog.minhazav.dev/research/html5-qrcode.html)
00:03:39	159177/159177	---MC-	200	added ('OK')	text/javascript	date:Sat,%2002%20Apr%202022%2005:03:39%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-2583590292295592	C:/Users/DELL/Desktop/scaner/pagead2.googlesyndication.com/pagead/js/f0a36.txt	(from https://blog.minhazav.dev/research/html5-qrcode.html)
